dataset,approach,max_depth,cv_mape,test_mape,n_trees,num_trees_phase1,phase1_pct,chosen
concrete_strength,baseline,1,0.16072027767021538,0.16830528544065504,1092,,,False
concrete_strength,baseline,2,0.11040666934311347,0.10805630084624722,842,,,False
concrete_strength,baseline,3,0.0987781273294732,0.0910089956219646,744,,,False
concrete_strength,baseline,4,0.09777676857887349,0.08587754421306629,559,,,False
concrete_strength,baseline,5,0.09489152631953979,0.08173094072538682,532,,,True
concrete_strength,baseline,6,0.09631891488533166,0.08593706830275202,309,,,False
concrete_strength,baseline,7,0.09946727075378838,0.08698488441452329,386,,,False
concrete_strength,baseline,8,0.1035999818640682,0.09394792654338525,369,,,False
concrete_strength,baseline,9,0.10733380249582922,0.09458567205732783,387,,,False
concrete_strength,baseline,10,0.10978964137301957,0.09773117452901854,301,,,False
concrete_strength,monotonic,1,0.16000860924662424,0.165618842081023,1227,,,False
concrete_strength,monotonic,2,0.11788577876963882,0.11824757270087047,681,,,False
concrete_strength,monotonic,3,0.10815205378462138,0.10129973529484028,506,,,False
concrete_strength,monotonic,4,0.10258526375359975,0.09314332900609558,405,,,False
concrete_strength,monotonic,5,0.10187959916085361,0.08714977921366825,323,,,False
concrete_strength,monotonic,6,0.10020879688844522,0.08840532574538121,261,,,False
concrete_strength,monotonic,7,0.10025136704375363,0.08997391330930837,161,,,False
concrete_strength,monotonic,8,0.09933304907236458,0.08854085040133064,217,,,True
concrete_strength,monotonic,9,0.10060487950107966,0.09326139245242732,160,,,False
concrete_strength,monotonic,10,0.10237630100415929,0.09097667878929272,160,,,False
concrete_strength,progressive,8,0.09733163428319595,0.08648427512862583,219,5.0,0.025,True
concrete_strength,progressive,8,0.09935815294367542,0.09191719273294663,327,10.0,0.05,False
concrete_strength,progressive,8,0.10011028396740171,0.09770647411187551,283,16.0,0.075,False
concrete_strength,progressive,8,0.1010673914772362,0.09302550127360912,349,21.0,0.1,False
concrete_strength,progressive,8,0.10415026734962556,0.09634295052523098,477,27.0,0.125,False
concrete_strength,progressive,8,0.10355314833776215,0.09739287724138013,563,32.0,0.15,False
concrete_strength,progressive,8,0.10498322290120018,0.09734323400693429,456,37.0,0.175,False
concrete_strength,progressive,8,0.1068526003446542,0.10007912386865118,460,43.0,0.2,False
