dataset,approach,max_depth,cv_mape,test_mape,n_trees,num_trees_phase1,phase1_pct,chosen
california_housing,baseline,1,0.2156866426910407,0.21407158528900827,5285,,,False
california_housing,baseline,2,0.1825670493734526,0.1831218488628471,2682,,,False
california_housing,baseline,3,0.16663084980666723,0.16976477492612005,2542,,,False
california_housing,baseline,4,0.16055573943191045,0.16405379182058638,1890,,,False
california_housing,baseline,5,0.1573197775857078,0.16144550719797174,1186,,,False
california_housing,baseline,6,0.1556417623615328,0.1578236306544144,980,,,False
california_housing,baseline,7,0.15447365782863395,0.15650144901445218,751,,,False
california_housing,baseline,8,0.15422097650284086,0.1562961362397322,468,,,False
california_housing,baseline,9,0.15382180456480526,0.15559311845890803,397,,,True
california_housing,baseline,10,0.15425370227490628,0.15344769379327183,341,,,False
california_housing,monotonic,1,0.21481290308766762,0.21487462486358785,5162,,,False
california_housing,monotonic,2,0.18621550997117756,0.18730993695557385,1984,,,False
california_housing,monotonic,3,0.17440487591330384,0.1784742547579493,1393,,,False
california_housing,monotonic,4,0.1705474516848286,0.17467219711979565,834,,,False
california_housing,monotonic,5,0.1651535283525383,0.16819042374210788,830,,,False
california_housing,monotonic,6,0.1619749602596427,0.1647248750812428,632,,,False
california_housing,monotonic,7,0.1596747430699922,0.1620868412581878,482,,,False
california_housing,monotonic,8,0.15833086154353987,0.16266235371824148,370,,,False
california_housing,monotonic,9,0.1572179960804363,0.15952207936683685,268,,,False
california_housing,monotonic,10,0.15650839142940554,0.15965540661841593,256,,,True
california_housing,progressive,10,0.15518178527459675,0.15581640690418286,222,6.0,0.025,False
california_housing,progressive,10,0.15217262821230676,0.1531413391693524,291,12.0,0.05,False
california_housing,progressive,10,0.15202971180980157,0.15266393933463593,294,19.0,0.075,False
california_housing,progressive,10,0.15155189593920387,0.15265956765118988,290,25.0,0.1,False
california_housing,progressive,10,0.1512687766043736,0.15107332456808106,309,32.0,0.125,True
california_housing,progressive,10,0.15293984333791494,0.15351336979531435,292,38.0,0.15,False
california_housing,progressive,10,0.15277885604443103,0.15188974247573903,389,44.0,0.175,False
california_housing,progressive,10,0.15231577440291275,0.15116903215752803,414,51.0,0.2,False
